GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMPSMAO,EMPSMAO_S,EMPAVPW,PAYABENT,PAYANN,BENEFIT,BENEFIT_S,PAYANPW,HRSTOTM,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,FUELECT,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,VALADDM,VALADDM_S,RCPTOT,RCPTOT_S,RCPTPLM,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,RCPTRAN,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO
Geographic identifier code,Id2,Geographic area name,Id,NAICS-based,Meaning of NAICS-based,Id,Year,Number of employees,Relative standard error of number of employees,"Production workers, average per year","Total compensation ($1,000)","Annual payroll ($1,000)",Total fringe benefits,Relative standard error of total fringe benefits (percent),"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Relative standard error of total cost of materials ($1,000)","Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract work ($1,000)","Purchased fuels consumed ($1,000)",Relative standard error of estimate for cost of purchased fuels (percent),"Cost of purchased fuels and electric energy ($1,000)","Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of estimate for cost of electricity purchased for heat and power (percent),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Value added ($1,000)",Relative standard error of value added,"Total value of shipments ($1,000)",Relative standard error of estimate for total value of shipments (percent),"Value of product shipments ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value of interplant transfers ($1,000)","Total inventories, end of year ($1,000)",Relative standard error of estimate for total end of year inventories (percent),"Finished goods inventories, end of year ($1,000)",Relative standard error of estimate for EOY finished products inventories (percent),"Work-in-process inventories, end-of-year  ($1,000)",Relative standard error of estimate for EOY work-in-process inventories (percent),"Materials and supplies inventories, end of year ($1,000)","Relative standard error of estimate for EOY materials, supplies, fuels, etc. inventories (percent)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of estimate of total capital expenditures (new and used),"Buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)"
0100000US,,United States,,31-33,Manufacturing,,2006,12984696,1,9175328,757471464,592119379,165352085,1,344192729,18777475,2752903919,1,2436229926,158387432,54521013,54078546,1,103765548,891040734,49687002,1,109843544,20578084,2285928967,1,5015553256,1,4763224697,252328559,201563288,17849226,32916044,344650631,497955515,1,184359581,1,136519699,1,177076235,1,461058837,170041098,127016688,164001050,135800993,1,18481539,117319454,3120596,8291853,105907005
0100000US,,United States,,31-33,Manufacturing,,2005,13161880,1,9235635,741909144,580358985,161550159,1,337980878,19055800,2557600945,1,2257138835,147552383,53675293,52876642,1,99234433,901413104,46357791,1,114370321,24814031,2210349247,1,4742076879,1,4501591322,240485557,190436126,16397316,33652115,340795142,467626385,1,173190590,1,128276541,1,166159253,1,428956353,159513500,116804319,152638534,128291715,1,18634057,109657658,3097736,6483319,100076603
0100000US,,United States,,311,Food mfg,,2006,1416918,1,1089633,62137747,48841707,13296040,1,32788924,2197402,304156757,1,276184367,16787280,1265638,5257913,1,9919473,78522846,4661560,1,3815482,287552,233406940,1,536939160,1,514185099,22754061,20702141,1195649,856270,36178427,34883431,1,18822956,1,3226839,3,12833635,1,33194712,18299719,2961800,11933192,12655950,1,2134095,10521854,297675,406266,9817913
0100000US,,United States,,311,Food mfg,,2005,1440283,1,1099530,61294938,47830002,13464936,1,32090481,2242558,298397145,1,270919022,17062585,1303616,4850091,1,9111923,78766093,4261832,1,4221528,288357,234662192,1,532402120,1,509789129,22612990,20750095,969955,892941,30864061,33658081,1,18489126,1,3044311,3,12124643,1,32123483,17865923,2913130,11344430,12076029,1,2384174,9691854,294787,371702,9025366
0100000US,,United States,,3111,Animal food mfg,,2006,43788,2,29065,2318001,1850831,467170,2,1115897,60822,19517061,2,16865814,2077675,51692,275820,3,521881,4200072,246061,3,52,,14470496,1,33987755,1,31809978,2177778,2056316,22178,99284,2361834,1672944,3,694784,3,179204,3,798956,4,1573504,714153,160874,698477,713325,4,156793,556532,40377,31079,485076
0100000US,,United States,,3111,Animal food mfg,,2005,43611,2,28576,2335965,1833076,502889,2,1089432,61346,19299507,2,16278053,2448192,55337,295296,11,517925,4041993,222629,3,118,0,13985808,2,33233522,1,30597866,2635656,2459248,36660,139747,1400184,1576993,3,701464,3,163662,5,711868,5,1506144,672375,141797,691971,655017,3,141565,513452,36185,27599,449667
0100000US,,United States,,31111,Animal food manufacturing,,2006,43788,2,29065,2318001,1850831,467170,2,1115897,60822,19517061,2,16865814,2077675,51692,275820,3,521881,4200072,246061,3,52,,14470496,1,33987755,1,31809978,2177778,2056316,22178,99284,2361834,1672944,3,694784,3,179204,3,798956,4,1573504,714153,160874,698477,713325,4,156793,556532,40377,31079,485076
0100000US,,United States,,31111,Animal food manufacturing,,2005,43611,2,28576,2335965,1833076,502889,2,1089432,61346,19299507,2,16278053,2448192,55337,295296,11,517925,4041993,222629,3,118,0,13985808,2,33233522,1,30597866,2635656,2459248,36660,139747,1400184,1576993,3,701464,3,163662,5,711868,5,1506144,672375,141797,691971,655017,3,141565,513452,36185,27599,449667
0100000US,,United States,,311111,Dog and cat food manufacturing,,2006,14582,2,11461,909987,697386,212601,2,499716,24743,5805259,1,4829243,757358,31934,112251,2,186725,1312235,74474,2,0,0,7804163,1,13596647,1,12894404,702242,700091,0,2151,,482074,2,250529,2,20238,3,211307,3,435049,237698,21970,175382,277609,3,74746,202863,3359,10374,189129
0100000US,,United States,,311111,Dog and cat food manufacturing,,2005,14431,2,11145,905534,677993,227541,2,482517,24337,5810560,1,4710113,896552,28744,105842,2,175152,1245599,69310,1,0,0,7345796,1,13141967,1,12286714,855253,839607,,,,461076,2,257555,2,22389,4,181133,2,454373,247688,19542,187142,269610,2,51675,217935,4798,8692,204445
0100000US,,United States,,311119,Other animal food manufacturing,,2006,29206,3,17604,1408014,1153445,254569,3,616181,36079,13711802,3,12036571,1320317,19758,163570,5,335156,2887836,171587,5,52,,6666333,3,20391109,2,18915574,1475535,1356225,22178,97133,,1190870,3,444255,4,158966,4,587649,5,1138454,476455,138904,523095,435716,7,82047,353669,37017,20704,295947
0100000US,,United States,,311119,Other animal food manufacturing,,2005,29180,2,17432,1430431,1155083,275348,2,606914,37010,13488947,3,11567940,1551641,26593,189454,17,342773,2796393,153318,5,118,0,6640012,3,20091555,2,18311152,1780402,1619642,,,,1115917,4,443908,4,141273,6,530735,6,1051771,424687,122255,504829,385407,5,89890,295517,31387,18908,245222
0100000US,,United States,,3112,Grain & oilseed milling,,2006,52592,1,39590,3458340,2647476,810864,1,1806042,86261,37328017,1,33946631,1036592,149542,1385016,1,2195253,15667293,810237,1,2551330,108371,19974377,1,56978067,1,55802905,1175162,1124805,21950,28406,3395512,4254995,1,1619310,1,325765,1,2309920,2,3640318,1365084,254830,2020404,1605879,1,281248,1324631,11519,27355,1285758
0100000US,,United States,,3112,Grain & oilseed milling,,2005,52520,1,39408,3412597,2612259,800338,1,1797757,86538,36567297,1,33297549,1138047,144659,1220496,1,1987042,15682774,766546,1,2412667,122847,20995676,1,57525933,1,56227843,1298089,1231230,36980,29879,3273488,3690589,1,1377708,1,262309,1,2050572,2,3468289,1348145,253997,1866147,1303328,1,254199,1049130,16761,22299,1010069
0100000US,,United States,,31121,Flour milling and malt manufacturing,,2006,14194,1,10633,801452,617344,184108,1,411940,24398,7812868,1,7251750,,,110657,2,312796,3401012,202139,1,,0,2895339,1,10692383,1,10437821,254562,,11255,,614432,1256807,2,273570,2,73408,2,909829,2,1138705,250929,80542,807235,225074,4,36933,188140,3485,6749,177906
0100000US,,United States,,31121,Flour milling and malt manufacturing,,2005,15011,1,11211,820269,626550,193719,1,416410,25205,7250366,1,6750930,,,106047,1,294454,3228194,188406,1,,0,3130978,1,10366097,1,10157422,208675,,15902,,533444,1174296,1,258413,2,81074,1,834809,1,1099357,239378,85178,774800,282291,1,45364,236926,10210,4930,221786
0100000US,,United States,,31121M,Flour milling and malt manufacturing,,2006,14194,1,10633,801452,617344,184108,1,411940,24398,7812868,1,7251750,,,110657,2,312796,3401012,202139,1,,0,2895339,1,10692383,1,10437821,254562,,11255,,614432,1256807,2,273570,2,73408,2,909829,2,1138705,250929,80542,807235,225074,4,36933,188140,3485,6749,177906
0100000US,,United States,,31121M,Flour milling and malt manufacturing,,2005,15011,1,11211,820269,626550,193719,1,416410,25205,7250366,1,6750930,,,106047,1,294454,3228194,188406,1,,0,3130978,1,10366097,1,10157422,208675,,15902,,533444,1174296,1,258413,2,81074,1,834809,1,1099357,239378,85178,774800,282291,1,45364,236926,10210,4930,221786
0100000US,,United States,,31122,Starch and vegetable fats and oils manufacturing,,2006,24378,1,17339,1584617,1233693,350924,1,775027,37088,26701911,1,24116018,784844,89633,1184887,1,1711414,10701242,526527,1,,,10465427,2,36859526,1,35989173,870353,840091,10695,19567,2591391,2621245,2,1223812,1,230494,1,1166939,4,2163434,987263,161714,1014457,1074343,2,208648,865695,5064,14087,846544
0100000US,,United States,,31122,Starch and vegetable fats and oils manufacturing,,2005,24421,1,17323,1555739,1199432,356307,1,759039,37824,26719966,1,24174792,910188,86702,1039750,1,1548284,10861337,508534,1,,,10326927,1,37039077,1,36061952,977125,935500,21078,20547,2602729,2177851,2,995386,1,161030,1,1021435,4,2050198,994552,156531,899114,747784,2,171250,576534,5541,12421,558571
0100000US,,United States,,311221,Wet corn milling,,2006,8830,1,5721,703938,542837,161101,1,316608,12485,5895329,1,4481505,242273,50685,778846,1,1120865,6859817,342019,1,2283293,,4108777,1,9939087,1,9681233,257854,256916,,,,599504,2,282656,1,47269,1,269580,4,491171,231988,36186,222997,596695,1,85512,511184,1114,8143,501927
0100000US,,United States,,311221,Wet corn milling,,2005,8719,1,5662,663654,503614,160040,1,300010,12753,5390183,1,4214284,168298,58463,622310,1,949138,6905385,326828,1,2104197,,3888172,1,9290872,1,9117531,173341,172197,,,150529,490971,1,231934,1,36184,1,222853,2,491927,248191,35714,208021,329023,1,58867,270155,743,4036,265377
0100000US,,United States,,311225,Fats and oils refining and blending,,2006,7257,2,5546,418830,328286,90544,2,220103,11837,7277327,1,6875230,214571,28479,106927,1,159047,965921,52120,1,,,2087976,4,9312049,1,9070490,241560,227063,,,,574859,1,251519,2,84237,1,239103,2,484617,211604,70708,202305,201110,6,50638,150472,1705,2714,146053
0100000US,,United States,,311225,Fats and oils refining and blending,,2005,7268,2,5651,415819,324021,91798,1,225266,12278,7540779,1,7190091,189561,13288,91127,1,147838,1117342,56711,1,,,1918635,5,9453251,1,9244259,208992,197142,,,476605,507658,1,204493,2,62791,1,240374,1,473135,208853,52077,212204,196132,3,44158,151974,2929,5266,143779
0100000US,,United States,,31122N,Soybean and other oilseed processing,,2006,8290,4,6073,461849,362570,99279,5,238316,12767,13529255,2,12759284,328001,10469,299114,3,431502,2875504,132388,1,,,4268673,4,17608390,2,17237450,370940,356112,,,2074025,1446882,3,689637,2,98988,1,658256,7,1187645,543671,54820,589155,276538,5,72498,204040,2246,3230,198563
0100000US,,United States,,31122N,Soybean and other oilseed processing,,2005,8434,2,6010,476266,371797,104469,3,233763,12794,13789005,2,12770417,552329,14951,326313,3,451307,2838609,124994,2,259521,,4520120,2,18294954,2,17700162,594792,566161,10210,18421,1975595,1179221,4,558959,2,62055,1,558208,8,1085136,537508,68740,478888,222629,6,68225,154404,1870,3119,149416
0100000US,,United States,,31123,Breakfast cereal manufacturing,,2006,14020,1,11618,1072271,796439,275832,1,619074,24775,2813239,2,2578862,,,89471,2,171043,1565039,81572,1,,,6613611,1,9426158,1,9375911,50247,,0,,189689,376944,2,121928,1,21863,1,233153,2,338178,126892,12574,198713,306462,2,35667,270796,2969,6519,261308
0100000US,,United States,,31123,Breakfast cereal manufacturing,,2005,13087,1,10875,1036589,786277,250312,1,622308,23508,2596964,2,2371826,,,74699,3,144305,1593244,69606,1,,,7537772,1,10120758,1,10008469,112289,,0,,137315,338441,1,123909,1,20205,1,194328,2,318735,114215,12288,192232,273254,1,37584,235670,1010,4949,229711
0100000US,,United States,,311230,Breakfast cereal manufacturing,,2006,14020,1,11618,1072271,796439,275832,1,619074,24775,2813239,2,2578862,,,89471,2,171043,1565039,81572,1,,,6613611,1,9426158,1,9375911,50247,,0,,189689,376944,2,121928,1,21863,1,233153,2,338178,126892,12574,198713,306462,2,35667,270796,2969,6519,261308
