GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,EMPAVPW,PAYANPW,HOURS,CSTMTOT,RCPTOT,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,Number of paid employees for pay period including March 12,Relative standard error of total number of employees (%),"Annual payroll ($1,000)",Production workers avg per year,"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%)
0100000US,,United States,,31-33,Manufacturing,,2011,10649378,1,559517837,7440140,313709882,14866954,3240477063,5498599159,2295219634,1,146651647,1
0100000US,,United States,,31-33,Manufacturing,,2010,10507146,1,538456595,7289354,299613996,14550473,2782192359,4905446064,2160731149,1,127639000,1
0100000US,,United States,,311,Food manufacturing,,2011,1358996,1,52828340,1072841,36089009,2172236,448203618,710365597,264500763,1,15850621,1
0100000US,,United States,,311,Food manufacturing,,2010,1363773,1,52383998,1076443,35800855,2177377,392452944,649338759,259174379,1,14020480,1
0100000US,,United States,,3111,Animal food manufacturing,,2011,43104,1,2149012,29749,1310741,61110,38024007,54082330,16164944,1,808548,2
0100000US,,United States,,3111,Animal food manufacturing,,2010,44168,1,2110513,30348,1289689,62417,31859976,48146262,16346399,1,829111,2
0100000US,,United States,,3112,Grain and oilseed milling,,2011,50499,2,2864124,37427,1927848,81406,64937087,94025296,29278380,1,1610335,1
0100000US,,United States,,3112,Grain and oilseed milling,,2010,50049,2,2829769,36952,1913541,80636,55129180,82801451,28131341,1,1421380,1
0100000US,,United States,,3113,Sugar and confectionery product manufacturing,,2011,65429,1,2887333,49241,1930466,95942,17637273,33120351,15633531,1,1204459,1
0100000US,,United States,,3113,Sugar and confectionery product manufacturing,,2010,64186,1,2846502,48095,1927450,95833,15868748,31058103,15498927,1,976645,1
0100000US,,United States,,3114,Fruit and vegetable preserving and specialty food manufacturing,,2011,160869,1,6307391,133186,4545238,269844,35550703,65019666,29476711,1,2290319,3
0100000US,,United States,,3114,Fruit and vegetable preserving and specialty food manufacturing,,2010,162698,1,6268316,135200,4538657,269478,34382979,63186582,28824559,1,2162323,1
0100000US,,United States,,3115,Dairy product manufacturing,,2011,130791,1,6301609,95481,4190018,197265,74349489,106001994,32353478,1,2623864,2
0100000US,,United States,,3115,Dairy product manufacturing,,2010,133018,1,6265620,97827,4188478,200488,63910579,95166952,31464398,1,2435010,2
0100000US,,United States,,3116,Animal  slaughtering and processing,,2011,474400,1,15120687,414672,11841635,862411,142597171,195726679,53824373,1,2514006,1
0100000US,,United States,,3116,Animal  slaughtering and processing,,2010,480073,1,15123317,419735,11799096,871906,123049584,175496986,53237978,1,2026205,2
0100000US,,United States,,3117,Seafood product preparation and packaging,,2011,29686,3,1137073,24898,783622,49762,6642528,10579683,3931459,2,309269,3
0100000US,,United States,,3117,Seafood product preparation and packaging,,2010,28383,3,1054022,23454,674189,46225,6199099,10110249,3886911,3,206291,5
0100000US,,United States,,3118,Bakeries and tortilla manufacturing,,2011,248979,1,9176755,171696,5502705,324637,26101995,61051462,35153938,1,1832025,5
0100000US,,United States,,3118,Bakeries and tortilla manufacturing,,2010,247357,1,9151728,170125,5521245,323110,23510817,59061895,35564894,1,1796934,4
0100000US,,United States,,3119,Other food manufacturing,,2011,155238,1,6884356,116490,4056736,229859,42363364,90758135,48683950,1,2657796,1
0100000US,,United States,,3119,Other food manufacturing,,2010,153841,1,6734212,114708,3948509,227284,38541983,84310280,46218973,1,2166580,1
0100000US,,United States,,312,Beverage and tobacco product manufacturing,,2011,139966,1,7271761,85030,4029969,165657,53872488,136888125,83488996,1,3110467,6
