GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,BENEFIT,BENEFIT_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end of year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Relative standard error of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000)","Relative standard error of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000)","Relative standard error of materials and supplies inventories, beginning of year (%)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)",Relative standard error of capital expenditures on buildings and other structures (new and used) (%),"Capital expenditures on machinery and equipment (new and used) ($1,000)",Relative standard error of capital expenditures on machinery and equipment (new and used) (%),"Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Relative standard error of capital expenditures on automobiles, trucks, etc. for highway use (%)","Capital expenditures on computers and peripheral data processing equipment ($1,000)",Relative standard error of capital expenditures on computers and peripheral data processing equipment (%),"Capital expenditures on all other machinery and equipment ($1,000)",Relative standard error of capital expenditures on all other machinery and equipment (%),"Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error of materials, parts, containers, packaging, etc. used (%)","Cost of resales ($1,000)",Relative standard error of cost of resales (%),"Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Contract work ($1,000)",Relative standard error of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh)",Relative standard error of quantity of electricity sold or transferred (%)
0100000US,,United States,,31-33,Manufacturing,,2011,591670447,1,210356409,1,183190051,1,198123987,1,536646008,1,191721573,1,164439273,1,180485161,1,146651647,1,21760323,1,124891324,1,2629535,1,7275654,2,114986135,1,173704551,1,3240477063,1,2916521678,1,173477116,1,42275939,1,52032153,1,56170177,1,830841149,1,118810929,1,34891402,1
0100000US,,United States,,31-33,Manufacturing,,2010,538939463,1,192377333,1,164759779,1,181802351,1,489587658,1,174596342,1,145074170,1,169917146,1,127639000,1,19430452,1,108208547,1,2213276,1,6413634,2,99581637,1,168033161,1,2782192359,1,2485700376,1,154830264,1,41658205,1,49142022,1,50861492,1,783323300,1,117186170,1,32838188,1
0400000US01,01,Alabama,,31-33,Manufacturing,,2011,10993318,1,3842585,1,2652709,1,4498024,1,10063098,1,3392334,1,2386716,1,4284047,1,3495721,1,593801,3,2901920,1,53774,3,104596,2,2743550,1,3097666,1,70607936,1,64395361,1,2460152,3,1232022,2,1773993,2,746407,3,33162477,2,4290702,1,,
0400000US01,01,Alabama,,31-33,Manufacturing,,2010,10006579,1,3396793,1,2420060,1,4189725,1,8895723,1,3058358,1,2063961,1,3773403,1,3080806,1,359580,1,2721226,1,53477,4,79095,1,2588654,1,3107525,1,65597706,1,59293868,1,2731583,3,1233290,2,1613493,3,725473,3,30348286,4,3701315,1,,
0400000US02,02,Alaska,,31-33,Manufacturing,,2011,813648,5,512239,5,127485,21,173924,4,772607,5,453558,4,152066,17,166983,11,145085,5,24354,4,120731,5,6251,16,3335,7,111145,5,122366,5,6596828,2,5609318,2,827724,2,91723,6,50244,7,17818,12,427339,8,133225,11,,
0400000US02,02,Alaska,,31-33,Manufacturing,,2010,747487,5,434720,3,148872,17,163895,9,659879,6,371876,3,113618,23,174385,10,145080,7,32805,3,112275,9,4448,32,4143,12,103683,10,119369,5,5066034,2,4308347,2,619655,3,70939,4,44880,5,22213,10,368600,6,144423,7,,
0400000US04,04,Arizona,,31-33,Manufacturing,,2011,6052261,1,1793071,2,2326538,1,1932652,2,5566637,1,1790301,2,2026026,1,1750310,2,1368284,4,192794,4,1175490,4,25233,4,73942,3,1076316,5,2375495,1,23165383,1,20856940,1,1227817,3,168139,4,411052,2,501433,5,5277089,2,,,,
0400000US04,04,Arizona,,31-33,Manufacturing,,2010,5629628,1,1801809,2,2056958,1,1770861,2,5179322,1,1546587,2,1988617,1,1644118,3,1098410,4,204604,6,893806,4,23600,12,50859,4,819348,4,2444172,1,21620247,1,19440042,1,1157145,3,172855,5,405231,2,444973,5,5421847,2,,,,
0400000US05,05,Arkansas,,31-33,Manufacturing,,2011,6363323,1,2403478,2,1517637,1,2442208,1,5743953,2,2307017,4,1299019,1,2137917,2,1455228,2,211334,2,1243894,2,29633,9,42039,2,1172222,2,1728108,1,36370977,1,33610338,1,1019392,6,541704,3,893633,1,305911,2,17808402,1,1457132,1,,
