GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,BENEFIT,BENEFIT_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,"Total fringe benefits ($1,000)",Relative standard error for estimate of total fringe benefits (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Cost of materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error for estimate of cost of materials, parts, containers, packaging, etc. used  (%)","Cost of resales ($1,000)",Relative standard error for estimate of cost of resales (%),"Cost of purchased fuels consumed ($1,000)",Relative standard error for estimate of cost of purchased fuels (%),"Cost of purchased electricity ($1,000)",Relative standard error for estimate of cost of purchased electricity (%),"Cost of contract work ($1,000)",Relative standard error for estimate of cost of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error for estimate of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error for estimate of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh) ",Relative standard error for estimate of quantity of electricity sold or transferred (%),"Total inventories, beginning of year ($1,000) ","Relative standard error for estimate of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error for estimate of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000) ","Relative standard error for estimate of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000) ","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)","Total inventories, end of year ($1,000)","Relative standard error for estimate of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error for estimate of finished goods inventories, end of year (%)","Work-in-process inventories, end of year ($1,000)","Relative standard error for estimate of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, end of year (%)","Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%),"Capital expenditures for buildings and other structures ($1,000)",Relative standard error for estimate of capital expenditures for buildings and other structures (%),"Capital expenditures for machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for machinery and equipment (%),"Capital expenditures for automobiles, trucks, etc. for highway use ($1,000)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%)","Capital expenditures for computers and peripheral data processing equipment ($1,000)",Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%),"Capital expenditures for all other machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for all other machinery and equipment (%)
0100000US,,United States,,31-33,Manufacturing,,2014,184352116,0.1,3486762403,0.1,3158623749,0.1,175831446,0.4,41405268,0.1,54201318,0.2,56700622,0.3,805089215,0.1,111960182,0.1,31865513,0.1,612581158,0.1,217298845,0.2,186927585,0.2,208354728,0.2,623789547,0.1,217148165,0.2,192788440,0.3,213852942,0.1,173310168,0.4,33343606,0.9,139966562,0.3,3387981,1.2,5084296,1.4,131494285,0.3
0100000US,,United States,,31-33,Manufacturing,,2013,186039261,0.1,3463506989,0.1,3143324743,0.1,175511839,0.3,37713938,0.1,51873165,0.1,55083303,0.3,800132212,0.1,117375687,0.1,32655690,0.1,603723123,0.1,216130273,0.2,182716087,0.2,204876763,0.2,619288662,0.1,219494098,0.2,188765404,0.1,211029159,0.1,176369397,0.4,34862415,0.7,141506982,0.4,2430876,2.6,5175186,1.2,133900920,0.4
0400000US01,01,Alabama,,31-33,Manufacturing,,2014,3468197,0.3,88920920,0.2,82773503,0.2,2301307,1.4,1121843,0.4,1761719,0.3,962548,1.7,29412229,0.4,4582369,0.0,328751,0.0,12756071,0.3,4557922,0.6,2980083,0.3,5218066,0.6,13124681,0.3,4491794,0.6,3153144,0.5,5479743,0.6,5015074,0.9,643745,1.0,4371329,1.0,70993,4.3,110712,3.0,4189623,1.0
0400000US01,01,Alabama,,31-33,Manufacturing,,2013,3376387,0.3,81665057,0.1,75908560,0.1,2053117,1.6,1085208,0.2,1722265,0.3,895907,1.0,28305660,0.3,4833195,0.1,310456,0.0,12259317,0.3,4230463,0.5,2868143,0.9,5160711,0.2,13034045,0.3,4540401,0.6,3181426,0.7,5312218,0.4,3507760,0.8,613127,2.3,2894633,0.8,57000,6.8,99985,1.5,2737648,0.8
0400000US01,01,Alabama,,31-33,Manufacturing,,2012,3339039,,79061668,,73340438,,2164800,,1046107,,1652750,,857573,,26967947,,5501008,,309518,,11709063,,4198257,,2686574,,4824232,,12059162,,4207109,,2750635,,5101418,,4074287,,701736,,3372551,,91796,,106551,,3174204,
0400000US02,02,Alaska,,31-33,Manufacturing,,2014,133936,0.7,4968247,0.9,4581643,1.0,210003,0.2,110417,1.0,42073,2.1,24111,1.0,362593,2.0,144070,0.0,,,779275,2.8,510778,4.0,138387,0.1,130110,2.4,717916,3.8,503305,5.3,72750,0.1,141860,1.8,102491,4.0,24163,11.5,78328,3.3,6737,1.1,1058,9.0,70533,3.5
0400000US02,02,Alaska,,31-33,Manufacturing,,2013,137166,1.4,5793592,0.9,4728331,1.1,894067,0.1,102020,2.5,45454,1.7,23719,3.6,329724,4.6,156916,10.6,,,724553,3.3,429036,5.5,118882,3.7,176636,2.0,770603,1.5,501658,1.5,139384,3.0,129561,2.6,109688,6.7,29802,10.1,79886,5.8,1698,4.4,1099,3.0,77089,5.9
0400000US02,02,Alaska,,31-33,Manufacturing,,2012,132906,,6198781,,5189546,,848111,,88264,,48484,,24376,,405390,,120188,,,,754000,,,,,,171342,,725307,,425204,,118601,,181502,,138149,,24621,,113528,,3500,,2038,,107990,
0400000US04,04,Arizona,,31-33,Manufacturing,,2014,2749695,0.5,25685011,0.4,23039813,0.4,1556649,1.1,130717,1.5,525495,0.7,432337,2.8,7343268,0.6,933,3.4,,,5889624,0.6,1876499,0.7,2123032,0.7,1890093,1.1,5808745,0.8,2022091,1.2,2038210,1.4,1748445,1.2,2269429,0.9,715612,1.2,1553818,1.1,28615,5.2,79714,1.1,1445488,1.1
