GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,BENEFIT,BENEFIT_S,BENHEA,BENHEA_S,BENPEB,BENPEB_S,BENPEC,BENPEC_S,BENOTH,BENOTH_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,RCPTOT,RCPTOT_S,RCPTPLM,RCPTPLM_S,RCPTRAN,RCPTRAN_S,MSCTOT,MSCTOT_S,MSCRSLTT,MSCRSLTT_S,MSCCNTTT,MSCCNTTT_S,MSCOTH,MSCOTH_S,VALADD,VALADD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,RPTOT,RPTOT_S,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHTEMP_S,PCHCMPQ,PCHCMPQ_S,PCHEXSO,PCHEXSO_S,PCHDAPR,PCHDAPR_S,PCHCSVC,PCHCSVC_S,PCHRPR,PCHRPR_S,PCHRFUS,PCHRFUS_S,PCHADVT,PCHADVT_S,PCHPRTE,PCHPRTE_S,PCHTAX,PCHTAX_S,PCHOEXP,PCHOEXP_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"Total fringe benefits ($1,000)",Relative standard error for estimate of total fringe benefits (%),"Employer's cost for health insurance ($1,000)",Relative standard error for estimate of employer's cost for health insurance (%),"Employer's cost for defined benefit pension plans ($1,000)",Relative standard error for estimate of employer's cost for defined benefit pension plans (%),"Employer's cost for defined contribution plans ($1,000)",Relative standard error for estimate of employer's cost for defined contribution plans (%),"Employer's cost for other fringe benefits ($1,000)",Relative standard error for estimate of employer's cost for other fringe benefits (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Cost of materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error for estimate of cost of materials, parts, containers, packaging, etc. used  (%)","Cost of resales ($1,000)",Relative standard error for estimate of cost of resales (%),"Cost of purchased fuels consumed ($1,000)",Relative standard error for estimate of cost of purchased fuels (%),"Cost of purchased electricity ($1,000)",Relative standard error for estimate of cost of purchased electricity (%),"Cost of contract work ($1,000)",Relative standard error for estimate of cost of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error for estimate of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error for estimate of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh)",Relative standard error for estimate of quantity of electricity sold or transferred (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value of primary and secondary product shipments and receipts for services made in industry ($1,000)",Relative standard error for estimate of value of primary and secondary product shipments and receipts for services made in industry (%),"Value of interplant transfers for shipments and receipts for services ($1,000)",Relative standard error for estimate of value of interplant transfers for shipments and receipts for services (%),"Total miscellaneous receipts ($1,000)",Relative standard error for estimate of total miscellaneous receipts (%),"Value of resales ($1,000)",Relative standard error for estimate of value of resales (%),"Contract receipts ($1,000)",Relative standard error for estimate of contract receipts (%),"Other miscellaneous receipts ($1,000)",Relative standard error for estimate of other miscellaneous receipts (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total inventories, beginning of year ($1,000)","Relative standard error for estimate of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error for estimate of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000)","Relative standard error for estimate of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)","Total inventories, end of year ($1,000)","Relative standard error for estimate of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error for estimate of finished goods inventories, end of year (%)","Work-in-process inventories, end of year ($1,000)","Relative standard error for estimate of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, end of year (%)","Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%),"Capital expenditures for buildings and other structures ($1,000)",Relative standard error for estimate of capital expenditures for buildings and other structures (%),"Capital expenditures for machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for machinery and equipment (%),"Capital expenditures for automobiles, trucks, etc. for highway use ($1,000)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%)","Capital expenditures for computers and peripheral data processing equipment ($1,000)",Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%),"Capital expenditures for all other machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for all other machinery and equipment (%),"Total rental payments or lease payments ($1,000)",Relative standard error for estimate of total rental payments or lease payments (%),"Rental payments or lease payments for buildings and other structures ($1,000)",Relative standard error for estimate of rental payments or lease payments for buildings and other structures (%),"Rental payments or lease payments for machinery and equipment rentals ($1,000)",Relative standard error for estimate of rental payments or lease payments for machinery and equipment rentals (%),"Total other operating expenses ($1,000)",Relative standard error for estimate of total other operating expenses (%),"Temporary staff and leased employee expenses ($1,000)",Relative standard error for estimate of temporary staff and leased employee expenses (%),"Expensed computer hardware and other equipment ($1,000)",Relative standard error for estimate of expensed computer hardware and other equipment (%),"Expensed purchases of software ($1,000)",Relative standard error for estimate of expensed purchases of software (%),"Data processing and other purchased computer services ($1,000)",Relative standard error for estimate of data processing and other purchased computer services (%),"Communication services ($1,000)",Relative standard error for estimate of communication services (%),"Repair and maintenance services of buildings and/or machinery ($1,000)",Relative standard error for estimate of repair and maintenance services of buildings and/or machinery (%),"Refuse removal (including hazardous waste) services ($1,000)",Relative standard error for estimate of refuse removal (including hazardous waste) services (%),"Advertising and promotional services ($1,000)",Relative standard error for estimate of advertising and promotional services (%),"Purchased professional and technical services ($1,000)",Relative standard error for estimate of purchased professional and technical services (%),"Taxes and license fees ($1,000)",Relative standard error for estimate of taxes and license fees (%),"All other operating expenses ($1,000)",Relative standard error for estimate of all other operating expenses (%)
0100000US,,United States,,31-33,Manufacturing,,2015,11166953,0.1,636503615,0.1,192036230,0.1,78374641,0.1,15647393,0.2,19153375,0.2,78860820,0.1,7807966,0.1,15968906,0.1,360741434,0.1,3117562078,0.1,2815614909,0.1,159891306,0.5,33128879,0.2,52622619,0.1,56304365,0.3,796561789,0.1,112497691,0.1,31882434,0.1,5546997924,0.1,5283101285,0.1,406041183,0.0,263896638,0.5,203906786,0.6,23591510,2.1,36398343,0.8,2430098147,0.1,622315125,0.1,215967004,0.2,191683595,0.3,214664531,0.2,622595946,0.1,215213535,0.2,193412326,0.3,213970082,0.2,175387681,0.2,34570133,0.6,140817549,0.2,3899888,1.0,4712219,0.7,132205439,0.2,36702227,0.3,25081693,0.4,11620533,0.4,402526091,0.3,35687914,0.9,4340465,0.7,3666298,0.8,5921794,0.3,4715781,0.6,49518686,0.2,14026193,0.3,18205984,0.4,32568971,0.3,18248159,0.3,215625844,0.3
0100000US,,United States,,31-33,Manufacturing,,2014,10998862,0.1,616964064,0.1,183790160,0.1,75347805,0.1,14023996,0.2,18407818,0.2,76010542,0.1,7729203,0.1,15824594,0.1,350741168,0.1,3505622153,0.1,3179794546,0.1,174752071,0.5,41301736,0.1,54017475,0.1,55756325,0.3,806243393,0.1,113065219,0.1,31919512,0.1,5887555731,0.1,5606556071,0.1,433242615,0.0,280999661,0.4,221010511,0.5,22240699,2.1,37748451,0.7,2387163183,0.1,611877025,0.1,216677349,0.2,187148587,0.2,208051089,0.2,624490958,0.1,216979589,0.2,192389034,0.3,215122335,0.1,173849747,0.4,35278308,0.8,138571439,0.4,3401225,1.2,5080171,1.4,130090042,0.3,35947445,0.3,24628438,0.3,11319007,0.4,397210057,0.2,34556889,0.7,4284613,0.9,3361139,0.8,6162930,0.3,4749064,0.6,47850176,0.2,14313116,0.2,17570840,0.4,32258038,0.3,18336283,0.3,213766968,0.3
0100000US,,United States,,311,Food manufacturing,,2015,1389119,0.4,59567217,0.3,17437082,0.3,7582442,0.4,1090374,0.8,1338265,0.7,7426001,0.3,1100634,0.4,2263875,0.4,41300411,0.4,493425315,0.2,460376667,0.2,21185134,0.7,3794217,0.4,5597034,0.4,2472264,1.1,73123184,0.4,3125376,1.1,263559,0.3,775591243,0.2,748009125,0.2,51796408,0.0,27582117,0.8,24765309,0.8,1685724,4.7,1131084,7.1,282651072,0.3,52854559,0.5,27747650,0.6,5806456,1.4,19300454,0.6,53377277,0.4,27650745,0.4,6311199,1.8,19415333,0.8,17433774,1.0,3800595,1.9,13633180,1.0,365647,4.4,264260,2.6,13003273,1.0,3845734,0.9,2303203,1.3,1542531,1.7,43031279,0.7,3864876,2.1,194233,2.4,119187,1.6,166087,1.5,289830,0.9,5485510,0.8,2430599,0.9,4532640,0.6,2046411,1.0,1625827,1.3,22276079,0.9
0100000US,,United States,,311,Food manufacturing,,2014,1368487,0.4,57360213,0.3,16927069,0.3,7375234,0.4,1102227,0.6,1281095,0.7,7168513,0.3,1084441,0.4,2227959,0.4,39284093,0.3,519958544,0.2,484529044,0.2,23215810,1.0,4365016,0.3,5695236,0.3,2153439,0.9,76314877,0.3,3479949,0.9,269253,0.3,793831101,0.2,764462578,0.2,52732624,0.0,29368523,1.0,27044923,1.0,1317842,6.0,1005758,5.8,274505329,0.3,51675327,0.4,27854745,0.6,5424272,1.3,18396309,0.6,53170759,0.3,27992302,0.4,5878232,1.0,19300225,0.6,17141681,1.7,4189979,6.1,12951702,0.8,329129,5.3,390515,1.1,12232058,0.8,3721486,1.0,2176014,1.3,1545473,1.9,42709873,0.7,3678393,1.9,198387,2.2,103643,2.2,184160,1.4,289543,0.9,5195555,0.8,2393986,0.8,4423741,0.7,2077281,1.0,1592336,1.3,22572848,0.8
0100000US,,United States,,3111,Animal food manufacturing,,2015,44179,2.5,2419951,1.3,673605,1.1,287139,1.5,40814,2.8,68457,1.5,277195,1.5,30661,3.1,67096,2.6,1547510,1.6,42124150,0.8,36934170,0.8,4147309,1.3,223701,2.2,319583,3.1,499387,0.6,4181588,4.9,0,,0,,59606130,0.6,54977816,0.6,3252546,0.0,4628314,1.9,4304314,1.4,10943,63.8,313058,21.8,17567481,1.0,2878262,1.8,1228151,2.7,270872,10.3,1379240,2.5,3230804,4.3,1305088,2.1,279435,4.6,1646281,8.0,1159964,4.2,295879,13.0,864085,1.9,59868,14.7,22382,1.8,781834,1.6,168091,5.8,91808,8.3,76283,4.1,2262991,2.0,156173,4.8,14890,4.8,8990,5.0,6061,4.1,22128,2.1,371771,3.4,70070,3.4,101914,2.0,112818,5.0,101268,3.0,1296908,2.2
0100000US,,United States,,3111,Animal food manufacturing,,2014,43949,0.8,2327645,0.9,671585,1.9,290529,1.3,42342,2.3,68317,4.5,270398,2.8,30124,0.8,66468,1.1,1428168,0.7,42512265,0.7,37614109,0.8,4071883,1.3,234347,2.6,311360,2.3,280566,1.7,4089997,3.9,0,,0,,59350787,0.7,54992111,0.7,2941853,0.0,4358676,1.4,4227899,1.4,10665,65.0,120112,9.1,16877886,1.1,3005719,2.7,1273226,2.7,249372,11.2,1483121,4.4,2971054,2.9,1282537,2.3,279425,4.2,1409092,4.9,1343786,20.1,516973,48.4,826812,3.6,64648,26.0,17642,1.3,744522,3.1,177380,3.9,87493,8.3,89887,3.0,2242738,3.1,155170,5.5,13254,5.0,5960,2.9,7156,4.4,21073,2.5,329950,3.8,70287,5.5,122583,2.4,106818,5.1,94054,2.7,1316434,3.3
0100000US,,United States,,31111,Animal food manufacturing,,2015,44179,2.5,2419951,1.3,673605,1.1,287139,1.5,40814,2.8,68457,1.5,277195,1.5,30661,3.1,67096,2.6,1547510,1.6,42124150,0.8,36934170,0.8,4147309,1.3,223701,2.2,319583,3.1,499387,0.6,4181588,4.9,0,,0,,59606130,0.6,54977816,0.6,3252546,0.0,4628314,1.9,4304314,1.4,10943,63.8,313058,21.8,17567481,1.0,2878262,1.8,1228151,2.7,270872,10.3,1379240,2.5,3230804,4.3,1305088,2.1,279435,4.6,1646281,8.0,1159964,4.2,295879,13.0,864085,1.9,59868,14.7,22382,1.8,781834,1.6,168091,5.8,91808,8.3,76283,4.1,2262991,2.0,156173,4.8,14890,4.8,8990,5.0,6061,4.1,22128,2.1,371771,3.4,70070,3.4,101914,2.0,112818,5.0,101268,3.0,1296908,2.2
0100000US,,United States,,31111,Animal food manufacturing,,2014,43949,0.8,2327645,0.9,671585,1.9,290529,1.3,42342,2.3,68317,4.5,270398,2.8,30124,0.8,66468,1.1,1428168,0.7,42512265,0.7,37614109,0.8,4071883,1.3,234347,2.6,311360,2.3,280566,1.7,4089997,3.9,0,,0,,59350787,0.7,54992111,0.7,2941853,0.0,4358676,1.4,4227899,1.4,10665,65.0,120112,9.1,16877886,1.1,3005719,2.7,1273226,2.7,249372,11.2,1483121,4.4,2971054,2.9,1282537,2.3,279425,4.2,1409092,4.9,1343786,20.1,516973,48.4,826812,3.6,64648,26.0,17642,1.3,744522,3.1,177380,3.9,87493,8.3,89887,3.0,2242738,3.1,155170,5.5,13254,5.0,5960,2.9,7156,4.4,21073,2.5,329950,3.8,70287,5.5,122583,2.4,106818,5.1,94054,2.7,1316434,3.3
0100000US,,United States,,311111,Dog and cat food manufacturing,,2015,16753,6.3,1023615,2.7,297811,1.9,127171,3.0,19689,0.8,32296,1.6,118655,2.2,12614,7.2,30028,5.6,750608,3.0,14590609,1.5,11191437,1.9,2804814,0.7,89133,3.0,111001,3.7,394224,0.1,1414014,3.3,0,,0,,25203814,1.1,22287639,1.0,,,2916174,2.3,2820596,0.8,,,,,10710400,1.0,873975,4.9,497198,4.9,23082,9.0,353696,5.6,1038586,7.9,585662,2.1,31813,18.7,421110,16.3,590519,1.2,139493,1.0,451026,1.4,2144,9.1,15845,0.8,433037,1.4,62238,13.6,27005,24.0,35233,6.1,1051106,2.9,95239,2.7,5592,8.1,4480,7.2,1999,4.8,8933,3.0,144393,3.4,35329,6.1,76065,1.4,62077,2.9,47810,3.6,569190,3.8
