GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,BENEFIT,BENEFIT_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,"Total fringe benefits ($1,000)",Relative standard error for estimate of total fringe benefits (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Cost of materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error for estimate of cost of materials, parts, containers, packaging, etc. used  (%)","Cost of resales ($1,000)",Relative standard error for estimate of cost of resales (%),"Cost of purchased fuels consumed ($1,000)",Relative standard error for estimate of cost of purchased fuels (%),"Cost of purchased electricity ($1,000)",Relative standard error for estimate of cost of purchased electricity (%),"Cost of contract work ($1,000)",Relative standard error for estimate of cost of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error for estimate of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error for estimate of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh)",Relative standard error for estimate of quantity of electricity sold or transferred (%),"Total inventories, beginning of year ($1,000)","Relative standard error for estimate of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error for estimate of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000)","Relative standard error for estimate of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)","Total inventories, end of year ($1,000)","Relative standard error for estimate of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error for estimate of finished goods inventories, end of year (%)","Work-in-process inventories, end of year ($1,000)","Relative standard error for estimate of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, end of year (%)","Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%),"Capital expenditures for buildings and other structures ($1,000)",Relative standard error for estimate of capital expenditures for buildings and other structures (%),"Capital expenditures for machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for machinery and equipment (%),"Capital expenditures for automobiles, trucks, etc. for highway use ($1,000)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%)","Capital expenditures for computers and peripheral data processing equipment ($1,000)",Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%),"Capital expenditures for all other machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for all other machinery and equipment (%)
0100000US,,United States,,31-33,Manufacturing,,2015,192036230,0.1,3117562078,0.1,2815614909,0.1,159891306,0.5,33128879,0.2,52622619,0.1,56304365,0.3,796561789,0.1,112497691,0.1,31882434,0.1,622315125,0.1,215967004,0.2,191683595,0.3,214664531,0.2,622595946,0.1,215213535,0.2,193412326,0.3,213970082,0.2,175387681,0.2,34570133,0.6,140817549,0.2,3899888,1.0,4712219,0.7,132205439,0.2
0100000US,,United States,,31-33,Manufacturing,,2014,183790160,0.1,3505622153,0.1,3179794546,0.1,174752071,0.5,41301736,0.1,54017475,0.1,55756325,0.3,806243393,0.1,113065219,0.1,31919512,0.1,611877025,0.1,216677349,0.2,187148587,0.2,208051089,0.2,624490958,0.1,216979589,0.2,192389034,0.3,215122335,0.1,173849747,0.4,35278308,0.8,138571439,0.4,3401225,1.2,5080171,1.4,130090042,0.3
0400000US01,01,Alabama,,31-33,Manufacturing,,2015,3554257,0.5,84638237,0.3,79159962,0.3,2003882,2.5,891591,0.5,1693078,0.3,889724,2.6,28271939,0.4,3896618,0.0,422764,0.0,13049880,0.4,4481922,0.7,3126319,0.4,5441639,0.7,12654903,0.4,4324879,0.7,3276725,0.5,5053299,0.9,4822551,1.7,667426,6.3,4155126,1.2,68211,4.5,109173,1.1,3977742,1.2
0400000US01,01,Alabama,,31-33,Manufacturing,,2014,3481144,0.3,89318174,0.2,83360336,0.2,2115271,1.5,1100555,0.4,1761370,0.3,980641,1.6,29402170,0.4,4701247,0.0,449053,0.0,12712648,0.3,4529697,0.6,2966823,0.3,5216128,0.6,13090171,0.3,4490113,0.6,3116522,0.5,5483535,0.6,5005809,0.9,643802,1.0,4362006,1.0,70813,4.3,110269,3.0,4180924,1.0
0400000US02,02,Alaska,,31-33,Manufacturing,,2015,140149,1.4,3972704,1.4,3746743,1.4,,,99982,2.1,40615,5.5,,,324591,6.3,150109,0.0,,,704725,3.4,,,,,122099,2.5,659425,3.5,,,,,132201,2.5,129947,2.8,22419,1.3,107528,3.3,3630,5.3,1899,5.1,102000,3.3
0400000US02,02,Alaska,,31-33,Manufacturing,,2014,133890,0.7,4987034,0.7,4600460,0.8,210003,0.2,110415,1.0,42064,2.1,24092,1.0,362525,2.0,144070,0.0,,,779138,2.8,,,,,130041,2.4,727792,3.7,,,,,142962,1.7,102491,4.0,24163,11.5,78328,3.3,6737,1.1,1058,9.0,70533,3.5
0400000US04,04,Arizona,,31-33,Manufacturing,,2015,2991940,0.6,25342924,0.5,22399850,0.5,1499446,1.7,409695,0.7,593326,1.8,440607,2.7,9607718,1.5,1473,1.9,,,5920986,0.9,2035028,1.0,2108163,1.8,1777795,1.4,6076303,1.0,2004507,1.0,2208397,1.7,1863399,1.5,990389,4.8,200652,7.1,789737,4.4,29113,8.9,40297,3.4,720326,4.7
0400000US04,04,Arizona,,31-33,Manufacturing,,2014,2756783,0.5,26045439,0.4,23360070,0.4,1562482,1.1,130576,1.4,529641,0.7,462670,2.7,7411047,0.6,933,3.4,,,5959971,0.7,1884654,0.7,2167842,1.5,1907475,1.0,5974492,0.9,2080302,1.3,2097623,1.5,1796567,1.3,2270217,0.9,715557,1.2,1554660,1.1,28658,5.2,80266,1.1,1445736,1.1
0400000US05,05,Arkansas,,31-33,Manufacturing,,2015,1861947,0.6,33706428,0.5,31129019,0.5,977779,4.5,420033,1.4,797720,0.6,381877,1.8,13503337,0.5,1653201,0.1,0,,6636738,1.3,2827478,2.8,1335595,1.4,2473665,0.8,6484593,1.5,2785748,2.9,1272526,1.9,2426318,1.0,2076542,1.1,260445,1.2,1816098,1.2,60391,19.8,27751,3.9,1727955,0.8
0400000US05,05,Arkansas,,31-33,Manufacturing,,2014,1820011,0.5,36507119,0.4,33747230,0.4,993194,4.5,518635,1.2,788654,0.6,459407,2.5,13741994,0.5,1653869,0.1,0,,6250476,0.6,2636046,0.7,1204099,1.4,2410331,0.7,6636582,1.3,2835502,2.8,1336300,1.4,2464781,0.8,1800357,1.2,266071,1.2,1534285,1.3,41050,9.1,31291,2.0,1461944,1.3
